Haptic Middle ,,,Haptic Thumb,,,Haptic Pointer,,,Object Placed,
rosbagTimestamp,data,,rosbagTimestamp,data,,rosbagTimestamp,data,,rosbagTimestamp,data
1.58250319054754E+018,1044,,1.58250319054348E+018,-40,,1.58250319054535E+018,804,,1.58250320130872E+018,0
1.58250319056908E+018,1040,,1.58250319056548E+018,-40,,1.58250319056756E+018,809,,1.5825032014084E+018,0
1.58250319059205E+018,1033,,1.58250319058836E+018,-36,,1.58250319059023E+018,813,,1.58250320150835E+018,0
1.58250319061454E+018,1037,,1.58250319061094E+018,-37,,1.5825031906127E+018,810,,1.5825032016083E+018,0
1.5825031906395E+018,1065,,1.58250319063474E+018,-48,,1.58250319063713E+018,806,,1.58250320170808E+018,0
1.58250319066159E+018,1033,,1.58250319065786E+018,-39,,1.58250319065947E+018,809,,1.58250320180838E+018,0
1.5825031906835E+018,1045,,1.58250319067941E+018,-34,,1.58250319068171E+018,810,,1.58250320190822E+018,0
1.5825031907057E+018,1044,,1.58250319070191E+018,-41,,1.58250319070367E+018,821,,1.58250320200787E+018,0
1.58250319072884E+018,1052,,1.58250319072474E+018,-37,,1.5825031907265E+018,808,,1.58250320414779E+018,0
1.58250319075254E+018,1036,,1.58250319074834E+018,-38,,1.58250319075044E+018,817,,1.58250320531716E+018,0
1.58250319077561E+018,1036,,1.58250319077148E+018,-37,,1.58250319077354E+018,812,,1.58250320648886E+018,0
1.58250319079753E+018,1036,,1.58250319079323E+018,-40,,1.58250319079509E+018,812,,1.58250320766161E+018,0
1.58250319081992E+018,1039,,1.58250319081598E+018,-42,,1.58250319081788E+018,817,,1.58250320883297E+018,0
1.58250319084347E+018,1023,,1.58250319083955E+018,-42,,1.5825031908416E+018,824,,1.582503210005E+018,0
1.58250319086653E+018,1059,,1.58250319086262E+018,-41,,1.58250319086444E+018,811,,1.58250321117604E+018,0
1.58250319088913E+018,1059,,1.58250319088466E+018,-43,,1.58250319088655E+018,810,,1.58250321234897E+018,0
1.58250319091097E+018,1047,,1.58250319090714E+018,-36,,1.58250319090938E+018,804,,1.58250321351989E+018,0
1.58250319093385E+018,1048,,1.58250319093002E+018,-41,,1.582503190932E+018,806,,1.58250321469239E+018,0
1.5825031909572E+018,1052,,1.58250319095336E+018,-38,,1.58250319095499E+018,808,,1.58250321586165E+018,0
1.58250319097927E+018,1036,,1.58250319097563E+018,-36,,1.58250319097733E+018,804,,1.58250321703137E+018,0
1.58250319100201E+018,1035,,1.58250319099814E+018,-36,,1.58250319100024E+018,807,,1.58250321820224E+018,0
1.58250319102494E+018,1035,,1.5825031910209E+018,-43,,1.58250319102261E+018,808,,1.58250321937451E+018,0
1.58250319104726E+018,1032,,1.58250319104369E+018,-40,,1.58250319104552E+018,800,,1.5825032205449E+018,0
1.5825031910714E+018,1035,,1.58250319106765E+018,-42,,1.58250319106953E+018,806,,1.58250322171459E+018,0
1.58250319109281E+018,1042,,1.58250319108923E+018,-40,,1.58250319109112E+018,812,,1.5825032228871E+018,0
1.58250319111635E+018,1046,,1.58250319111241E+018,-40,,1.58250319111422E+018,812,,1.58250322406211E+018,0
